MSHA ID,Year,Mine_Name,Mine_State,Mine_County,Mine_Status,Mine_Type,Company_Type,Operation_Type,Operating_Company,Operating_Company_Address,Union_Code,Coal_Supply_Region,Production_(short_tons),Average_Employees,Labor_Hours,log_production
1202428,2016,Liberty Mine,Indiana,Warrick,Active,Surface,Independent Producer Operator,Mine and Preparation Plant,Vigo Coal Operating Company In,"250 Crosspoint Blvd, Evansville, IN 47715",,Illinois Basin,1141643,95,250479,13.947979010868478
1202441,2016,Wild Boar Mine,Indiana,Warrick,Active,Surface,Operating Subsidiary,Mine only,"Peabody Wild Boar Mining, Llc","566 Dickeyville Rd., Lynnville, IN 47619",,Illinois Basin,2597983,160,362946,14.770245932696277
1401631,2016,Lucky Strike Mine,Kansas,Linn,Permanently abandoned,Surface,Independent Producer Operator,Mine only,"Continental Coal, Inc.","10801 Mastin  Suite 920, Overland Park, KS 66210",,Interior,26788,7,1327,10.195709305029942
1518257,2016,#1 Strip Mine,Kentucky (East),Bell,Active,Surface,Independent Producer Operator,Mine only,Jamieson Construction Company,"30 Jamieson Lane, London, KY 40744",,Appalachia Central,47314,12,30707,10.764561513772353
1519268,2016,Mine #3,Kentucky (East),Bell,Active,Surface,Independent Producer Operator,Mine only,Double Mountain Mining Llc,"P.O. Box 1787, Middlesboro, KY 40965",,Appalachia Central,86091,22,43031,11.363160155335496
1519272,2016,Lowsplint Surface,Kentucky (East),Bell,Active,Surface,Independent Producer Operator,Mine only,Double Mountain Mining Llc,"P.O. Box 1787, Middlesboro, KY 40965",,Appalachia Central,128066,29,55553,11.760301035012862
1519318,2016,D-1 Garmeada #2,Kentucky (East),Bell,Active,Underground,Independent Producer Operator,Mine only,"Revelation Energy, Llc","6340 West Cumberland Ave, Middlesboro, KY 40965",,Appalachia Central,250476,46,127878,12.431118386533907
1519700,2016,S-26 Stoney Fork,Kentucky (East),Bell,"Active, men working, not producing",Surface,Independent Producer Operator,Mine only,"Revelation Energy, Llc","P.O. Box 349, Bledsoe, KY 40810",,Appalachia Central,14384,4,4871,9.573871756711402
1519702,2016,Rockhampton #3,Kentucky (East),Bell,Active,Underground,Independent Producer Operator,Mine and Preparation Plant,Rockhampton Energy Llc,"10156 Us Hwy 25e, Pineville, KY 40977",,Appalachia Central,286593,90,207295,12.565818369793213
1519735,2016,Highwall Miner #2,Kentucky (East),Bell,Active,Surface,Independent Producer Operator,Mine only,"Jrc Mining, Inc","P.O. Box 952, Hyden, KY 41749",,Appalachia Central,85728,5,13032,11.358934772344336
1519768,2016,Jennie Branch Mine,Kentucky (East),Bell,Active,Underground,Independent Producer Operator,Mine only,"Tennco, Inc.","P.O. Box 517, Middlesboro, KY 40965",,Appalachia Central,156198,19,44166,11.958879712208438
1519791,2016,D-1a Garmeada,Kentucky (East),Bell,Active,Underground,Independent Producer Operator,Mine only,"Revelation Energy, Llc","6340 West Cumberland Ave, Middlesboro, KY 40965",,Appalachia Central,35530,18,16528,10.478132689015073
4609415,2016,Shm 06,Kentucky (East),Bell,Active,Surface,Independent Producer Operator,Mine only,"Bundy Auger Mining, Inc.","2005 Webster Road, Summersville, WV 26651",,Appalachia Central,72354,7,7965,11.189326017331647
1518982,2016,Sturgeon Freeman Fork,Kentucky (East),Breathitt,Active,Surface,Independent Producer Operator,Mine only,"Sturgeon Mining Co., Inc.","P.O. Box 368, Beattyville, KY 41311",,Appalachia Central,78897,10,20399,11.275898483297391
1519765,2016,Breathitt #1,Kentucky (East),Breathitt,Temporarily closed,Surface,Independent Producer Operator,Mine only,"Breathitt Mining, Llc","146 West Greendale Street, Corbin, KY 40701",,Appalachia Central,418,5,4694,6.035481432524756
1518418,2016,Joe's Run,Kentucky (West),Daviess,Active,Surface,Independent Producer Operator,Mine only,"Western Kentucky Minerals, Inc","P.O. Box 155, Philpot, KY 42366",,Illinois Basin,89927,9,23910,11.406753509072688
1519555,2016,N.A.A.M. No. 21,Kentucky (West),Daviess,Active,Surface,Independent Producer Operator,Mine only,"North American Auger Mining, I","P.O. Box 199, Conesville, OH 43811",,Illinois Basin,25918,3,1514,10.16269298699536
1519657,2016,North Knottsville Mine,Kentucky (West),Daviess,Active,Surface,Independent Producer Operator,Mine only,"Western Kentucky Minerals, Inc","P.O. Box 155, Philpot, KY 42366",,Illinois Basin,104995,9,23193,11.561668008958218
1518574,2016,No 2,Kentucky (East),Floyd,Active,Surface,Independent Producer Operator,Mine only,Metelectric Llc,"2533 Pascoli Place, Lexington, KY 40509",,Appalachia Central,39950,12,11050,10.595383951194421
1518980,2016,Frasure Branch,Kentucky (East),Floyd,Temporarily closed,Surface,Independent Producer Operator,Mine only,"Revelation Energy, Llc.","P.O. Box 249, Stanville, KY 41659",,Appalachia Central,5295,8,13404,8.574518258035507
1519087,2016,Mine #14,Kentucky (East),Floyd,Active,Underground,Independent Producer Operator,Mine only,"Hubble Mining, Llc.","P.O. Box 392, Pikeville, KY 41502",,Appalachia Central,23367,18,10300,10.059080049588058
1519242,2016,Redhawk #1,Kentucky (East),Floyd,Active,Underground,Operating Subsidiary,Mine only,"Redhawk Mining, Llc","3228 Summit Square Pl Ste 180, Lexington, KY 40509",,Appalachia Central,75747,21,40964,11.235154118626962
1519488,2016,No. 25,Kentucky (East),Floyd,Active,Underground,Independent Producer Operator,Mine only,Eagle Coal Company Inc,"P.O. Box 190, Lovely, KY 41231",,Appalachia Central,290585,63,143478,12.579651411442672
1519588,2016,Spurlock #4 Surface Mine,Kentucky (East),Floyd,Active,Surface,Operating Subsidiary,Mine only,Spurlock Mining Llc,"3228 Summit Square Pl Ste 180, Lexington, KY 40509",,Appalachia Central,263184,24,43604,12.480608686311939
1519718,2016,Redhawk #6,Kentucky (East),Floyd,Active,Underground,Operating Subsidiary,Mine only,Redhawk Mining Llc,"1801 Watergap Road, Prestonsburg, KY 41653",,Appalachia Central,137322,22,35945,11.830083811986395
1519726,2016,No. 4,Kentucky (East),Floyd,Active,Underground,Independent Producer Operator,Mine only,"Mrm Mining, Inc.","P.O. Box 564, Mcdowell, KY 41647",,Appalachia Central,69073,18,31270,11.142919195336972
1502263,2016,Darby Fork No 1,Kentucky (East),Harlan,Active,Underground,Operating Subsidiary,Mine only,Lone Mountain Processing Llc,"Drawer C, St Charles, VA 24282",,Appalachia Central,443670,100,241251,13.002836321828925
1514728,2016,S-25 Foresters Spur,Kentucky (East),Harlan,"Active, men working, not producing",Surface,Independent Producer Operator,Mine only,"Revelation Energy, Llc","P.O. Box 249, Stanville, KY 41659",,Appalachia Central,178823,19,55306,12.09415176879549
1517234,2016,Huff Creek No 1,Kentucky (East),Harlan,Active,Underground,Operating Subsidiary,Mine only,Lone Mountain Processing Llc,"Drawer C, St Charles, VA 24282",,Appalachia Central,398318,111,269020,12.895005960214887
1518198,2016,D-11 Panther,Kentucky (East),Harlan,Active,Underground,Independent Producer Operator,Mine only,"Revelation Energy, Llc","P.O. Box 249, Stanville, KY 41659",,Appalachia Central,66821,17,48034,11.109772681377931
1518247,2016,Big Branch,Kentucky (East),Harlan,Permanently abandoned,Surface,Independent Producer Operator,Mine only,Nally & Hamilton Enterprises I,"P.O. Box 157, Bardtown, KY 40004",,Appalachia Central,317274,41,89289,12.66752103283351
1518277,2016,No. 3 Mine,Kentucky (East),Harlan,Active,Underground,Independent Producer Operator,Mine only,Yellow Rose Coal Co. Llc,"P.O. Box 220, Lejunior, KY 40849",,Appalachia Central,133515,27,58064,11.801969110061142
1518647,2016,Clover Fork No 1,Kentucky (East),Harlan,Active,Underground,Operating Subsidiary,Mine only,Lone Mountain Processing Llc,"Drawer C, St. Charles, VA 24282",,Appalachia Central,436920,102,242577,12.98750539095748
1518869,2016,Cvb No 1,Kentucky (East),Harlan,"Active, men working, not producing",Underground,Independent Producer Operator,Mine only,Rex Coal Company Inc,"51 Grays Branch Road, Grays Knob, KY 40829",,Appalachia Central,32706,26,42281,10.395313826292336
1519260,2016,No D-5a Mine,Kentucky (East),Harlan,Active,Underground,Independent Producer Operator,Mine only,"Hubble Mining Company, Llc.","P.O. Box 392, Pikeville, KY 41502",,Appalachia Central,127239,37,95632,11.753822486668412
1519418,2016,D-8 Cloverlick,Kentucky (East),Harlan,Active,Underground,Independent Producer Operator,Mine only,"Revelation Energy, Llc","P.O. Box 249, Stanville, KY 41659",,Appalachia Central,542676,69,183173,13.20426773574581
